Term ID,Term Permalink,Term Name,Term Slug,Description,Parent ID,Parent Name,Parent Slug,Count,Image URL,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,Image Filename,Image Path,Image ID,order,product_pa_color-selector
3491,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%82%d9%87%d9%88%d9%87-%d8%a7%db%8c-%da%86%d9%87%d8%a7%d8%b1%d8%ae%d9%88%d9%86%d9%87,قهوه ای چهارخونه,%d9%82%d9%87%d9%88%d9%87-%d8%a7%db%8c-%da%86%d9%87%d8%a7%d8%b1%d8%ae%d9%88%d9%86%d9%87,,0,,,7,,,,,,,,,,0,#8B4513
3492,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%85%d8%b4%da%a9%db%8c-lv-%d8%b1%db%8c%d8%b2,مشکی LV ریز,%d9%85%d8%b4%da%a9%db%8c-lv-%d8%b1%db%8c%d8%b2,,0,,,2,,,,,,,,,,0,#000000
3493,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%82%d9%87%d9%88%d9%87-%d8%a7%db%8c-lv-%d8%af%d8%b1%d8%b4%d8%aa,قهوه ای LV درشت,%d9%82%d9%87%d9%88%d9%87-%d8%a7%db%8c-lv-%d8%af%d8%b1%d8%b4%d8%aa,,0,,,2,,,,,,,,,,0,#8B4513
3494,https://luxbaz.com/?taxonomy=pa_color-selector&term=%da%a9%d8%b1%d9%85-%da%86%d9%87%d8%a7%d8%b1%d8%ae%d9%88%d9%86%d9%87,کرم چهارخونه,%da%a9%d8%b1%d9%85-%da%86%d9%87%d8%a7%d8%b1%d8%ae%d9%88%d9%86%d9%87,,0,,,9,,,,,,,,,,0,#FFFDD0
3495,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b3%d9%81%db%8c%d8%af-mk-%d8%b1%db%8c%d8%b2,سفید MK ریز,%d8%b3%d9%81%db%8c%d8%af-mk-%d8%b1%db%8c%d8%b2,,0,,,4,,,,,,,,,,0,#FFFFFF
3496,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%85%d8%b4%da%a9%db%8c-%d8%ac%db%8c%d9%88%d8%a7%d9%86%da%86%db%8c,مشکی جیوانچی,%d9%85%d8%b4%da%a9%db%8c-%d8%ac%db%8c%d9%88%d8%a7%d9%86%da%86%db%8c,,0,,,5,,,,,,,,,,0,#000000
3497,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%85%d8%b4%da%a9%db%8c-%d9%84%db%8c%d8%b2%d8%a7%d8%b1%d8%af,مشکی لیزارد,%d9%85%d8%b4%da%a9%db%8c-%d9%84%db%8c%d8%b2%d8%a7%d8%b1%d8%af,,0,,,9,,,,,,,,,,0,#000000
3498,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%85%d8%b4%da%a9%db%8c-%d9%84%d9%88%db%8c%db%8c-%d9%88%db%8c%d8%aa%d9%88%d9%86-%d8%af%d8%a7%d8%ba%db%8c,مشکی لویی ویتون داغی,%d9%85%d8%b4%da%a9%db%8c-%d9%84%d9%88%db%8c%db%8c-%d9%88%db%8c%d8%aa%d9%88%d9%86-%d8%af%d8%a7%d8%ba%db%8c,,0,,,3,,,,,,,,,,0,#000000
3499,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b5%d9%88%d8%b1%d8%aa%db%8c,صورتی,%d8%b5%d9%88%d8%b1%d8%aa%db%8c,,0,,,12,https://luxbaz.com/wp-content/uploads/2023/03/In-Storycover-ساعت-عینک-1675593202.jpeg|https://luxbaz.com/wp-content/uploads/2023/03/In-Story-mob-ساعت-عینک-1675594554.jpeg,In-Storycover-ساعت-عینک-1675593202|In-Story-mob-ساعت-عینک-1675594554,|,|,|,,In-Storycover-ساعت-عینک-1675593202.jpeg|In-Story-mob-ساعت-عینک-1675594554.jpeg,/home/luxbazco/public_html/wp-content/uploads/2023/03/In-Storycover-ساعت-عینک-1675593202.jpeg|/home/luxbazco/public_html/wp-content/uploads/2023/03/In-Story-mob-ساعت-عینک-1675594554.jpeg,3500|3501,0,#FFC0CB
3500,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b2%d8%b1%d8%b4%da%a9%db%8c,زرشکی,%d8%b2%d8%b1%d8%b4%da%a9%db%8c,,0,,,11,,,,,,,,,,0,#8B0000
