شناسه,نوع,"شناسه محصول","نام ویژگی 1","مقدار ویژگی 1","ویژگی 1 قابل مشاهده است","ویژگی سراسری 1","نام ویژگی 2","مقدار ویژگی 2","ویژگی 2 قابل مشاهده است","ویژگی سراسری 2","نام ویژگی 3","مقدار ویژگی 3","ویژگی 3 قابل مشاهده است","ویژگی سراسری 3","نام ویژگی 4","مقدار ویژگی 4","ویژگی 4 قابل مشاهده است","ویژگی سراسری 4","نام ویژگی 5","مقدار ویژگی 5","ویژگی 5 قابل مشاهده است","ویژگی سراسری 5","نام ویژگی 6","مقدار ویژگی 6","ویژگی 6 قابل مشاهده است","ویژگی سراسری 6","متا: rank_math_internal_links_processed","متا: __is_newly_created_product","متا: _wp_page_template","متا: __first_variation_id","نام ویژگی 7","مقدار ویژگی 7","ویژگی 7 قابل مشاهده است","ویژگی سراسری 7","نام ویژگی 8","مقدار ویژگی 8","ویژگی 8 قابل مشاهده است","ویژگی سراسری 8","متا: rank_math_seo_score","متا: _prk_selectsizeguide","متا: product_facke_brand_show","متا: product_return_show","متا: special_send_box_single","متا: product_granti_show","متا: product_Original_show","متا: onsales_round","متا: product_hamta_show","متا: product_facke_brand_text","متا: product_return_text","متا: product_hamta_text","متا: progress_sales","متا: prk_add_to_cart_label","متا: prk_product_label","متا: en_pro_name","متا: product_english_name","متا: prk_product_featured_attributes","متا: date_send_pro"
9332,variable,4737,رنگ,"مشکی طرح 1, مشکی طرح 2, مشکی لیزارد",0,1,کاربرد,رسمی,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد بند",1,1,1,"جنس رویه","چرم مصنوعی",1,1,1,,default,9335,ابعاد,"طول: ۲۰cm, عرض: ۵cm",1,1,,,,,10,#NONE#,no,no,no,no,no,no,no,"این محصول به وسیله تولید کننده اصلی(برند) تولید نشده است.","امکان برگشت کالا با دلیل ""انصراف از خرید"" تنها در صورتی مورد قبول است که پلمب کالا باز نشده باشد.","هشدار سامانه همتا: حتما در زمان تحویل دستگاه، به کمک کد فعال‌سازی چاپ شده روی جعبه یا کارت گارانتی، دستگاه را از طریق #7777*، برای سیم‌کارت خود فعال‌سازی کنید. آموزش تصویری در آدرس اینترنتی hmti.ir/05",,,,,,,0
9336,variable,4739,رنگ,"قهوه ای شرانگ, کرم شرانگ, مشکی شرانگ, نسکافه ای شرانگ",0,1,کاربرد,اداری,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد بند",1,1,1,"جنس رویه","چرم مصنوعی",1,1,1,,default,9340,ابعاد,"طول: ۲۳cm, عرض: ۹cm",1,1,,,,,,,,,,,,,,,,,,,,,,,
9341,variable,4740,رنگ,"سفید, عسلی, کرم, مشکی",0,1,کاربرد,رسمی,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد بند",1,1,1,"جنس رویه","چرم مصنوعی",1,1,1,,default,9345,ابعاد,"طول: ۱۹cm, عرض: ۸cm",1,1,,,,,,,,,,,,,,,,,,,,,,,
9346,variable,4741,رنگ,"قهوه ای Coach, قهوه ای لویی ویتون ریز, کرم چهارخونه, کرم دیور, کرم کنفی, مشکی شرانگ, مشکی لیزارد",0,1,کاربرد,اسپرت,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد بند",3,1,1,"جنس رویه","چرم مصنوعی",1,1,1,,default,9353,ابعاد,"طول: ۲۶cm, عرض: ۸cm",1,1,,,,,,,,,,,,,,,,,,,,,,,
9354,variable,4742,رنگ,"سرمه ای, سفید, کاراملی, کرم, مشکی, نسکافه ای",0,1,ابعاد,"طول: nancm, عرض: nancm",1,1,,,,,,,,,,,,,,,,,1,,default,9360,,,,,,,,,10,#NONE#,no,no,no,no,no,no,no,"این محصول به وسیله تولید کننده اصلی(برند) تولید نشده است.","امکان برگشت کالا با دلیل ""انصراف از خرید"" تنها در صورتی مورد قبول است که پلمب کالا باز نشده باشد.","هشدار سامانه همتا: حتما در زمان تحویل دستگاه، به کمک کد فعال‌سازی چاپ شده روی جعبه یا کارت گارانتی، دستگاه را از طریق #7777*، برای سیم‌کارت خود فعال‌سازی کنید. آموزش تصویری در آدرس اینترنتی hmti.ir/05",,,,,,,0
9473,variable,5720,رنگ,"سرمه ای شرانگ, قهوه ای شرانگ, کرم شرانگ, مشکی شرانگ, نسکافه ای شرانگ",0,1,کاربرد,اسپرت,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد بند",3,1,1,"جنس رویه","چرم مصنوعی",1,1,1,,default,9478,ابعاد,"طول: ۳۴cm, عرض: ۱۲cm",1,1,,,,,5,#NONE#,no,no,no,no,no,no,no,"این محصول به وسیله تولید کننده اصلی(برند) تولید نشده است.","امکان برگشت کالا با دلیل ""انصراف از خرید"" تنها در صورتی مورد قبول است که پلمب کالا باز نشده باشد.","هشدار سامانه همتا: حتما در زمان تحویل دستگاه، به کمک کد فعال‌سازی چاپ شده روی جعبه یا کارت گارانتی، دستگاه را از طریق #7777*، برای سیم‌کارت خود فعال‌سازی کنید. آموزش تصویری در آدرس اینترنتی hmti.ir/05",,,,,,,0
13197,variable,4738,رنگ,"قهوه ای, نسکافه ای",0,1,کاربرد,اسپرت,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",1,1,1,"تعداد بند",1.0,1,1,1,1,default,13207,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۲۶cm, عرض: ۹cm, کف: ۱۵cm",1,1,,,,,,,,,,,,,,,,,,,
13213,variable,5649,رنگ,"بنفش دراگون, زرد خردلی دراگون, سبز مغز پسته ای دراگون",0,1,کاربرد,رسمی,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",1,1,1,"تعداد بند",3.0,1,1,1,1,default,13217,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۳۰cm, عرض: ۱۰cm, کف: ۲۵cm",1,1,5,#NONE#,no,no,no,no,no,no,no,"این محصول به وسیله تولید کننده اصلی(برند) تولید نشده است.","امکان برگشت کالا با دلیل ""انصراف از خرید"" تنها در صورتی مورد قبول است که پلمب کالا باز نشده باشد.","هشدار سامانه همتا: حتما در زمان تحویل دستگاه، به کمک کد فعال‌سازی چاپ شده روی جعبه یا کارت گارانتی، دستگاه را از طریق #7777*، برای سیم‌کارت خود فعال‌سازی کنید. آموزش تصویری در آدرس اینترنتی hmti.ir/05",,,,,,,0
8149,variation,3856-brown,رنگ,"قهوه ای",,1,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8150,variation,3856-honey,رنگ,عسلی,,1,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8151,variation,3856-black,رنگ,مشکی,,1,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,
