post_type,post_title,post_status,sku,parent_sku,regular_price,sale_price,manage_stock,stock_quantity,categories,description,short_description,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,images,gallery_images,gallery_image_alt,image_filename,image_titles,image_alt,sale_tag,attribute:color,attribute_name:color,attribute:application,attribute_name:application,attribute:closure-style,attribute_name:closure-style,attribute:lining-material,attribute_name:lining-material,attribute:long-strap,attribute_name:long-strap,attribute:number-of-inside-pockets,attribute_name:number-of-inside-pockets,attribute:number-of-outside-pockets,attribute_name:number-of-outside-pockets,attribute:number-of-straps,attribute_name:number-of-straps,attribute:outer-material,attribute_name:outer-material,attribute:suitable-for,attribute_name:suitable-for,attribute:dimention,attribute_name:dimention,attribute:bag-type,attribute_name:bag-type
product_variation,,publish,4708-light gray,4708,911000,729000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-light-gray.webp,,,passport-bag-4708-light-gray.webp,کیف پاسپورتی کد ۴۷۰۸ - طوسی روشن,کیف پاسپورتی کد ۴۷۰۸ - طوسی روشن,,طوسی روشن,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4708-honey,4708,911000,729000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-main.webp,,,passport-bag-4708-main.webp,کیف پاسپورتی کد ۴۷۰۸ - عسلی,کیف پاسپورتی کد ۴۷۰۸ - عسلی,,عسلی,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4708-brown,4708,911000,729000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-brown.webp,,,passport-bag-4708-brown.webp,کیف پاسپورتی کد ۴۷۰۸ - قهوه ای,کیف پاسپورتی کد ۴۷۰۸ - قهوه ای,,قهوه ای,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4708-black,4708,911000,729000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-black.webp,,,passport-bag-4708-black.webp,کیف پاسپورتی کد ۴۷۰۸ - مشکی,کیف پاسپورتی کد ۴۷۰۸ - مشکی,,مشکی,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4708-coffee,4708,911000,729000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-main.webp,,,passport-bag-4708-main.webp,کیف پاسپورتی کد ۴۷۰۸ - نسکافه ای,کیف پاسپورتی کد ۴۷۰۸ - نسکافه ای,,نسکافه ای,رنگ,,,,,,,,,,,,,,,,,,,,,,
product,کیف پاسپورتی کد ۴۷۰۹,publish,4709,,998000,798000.0,yes,,اکسسوری>کیف پاسپورتی,,,کیف پاسپورتی کد 4709,خرید کیف پاسپورتی کد 4709 به رنگ عسلی و قهوه ای و کرم‌ با کیفیت عالی و قیمت مناسب از فروشگاه لوکس‌باز,کیف پاسپورتی کد 4709,https://luxbaz.com/product/passport-bag-4709/,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4709-main.webp,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4709-main.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4709-brown.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4709-black.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4709-coffee.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4709-01.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4709-02.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4709-03.webp,کیف پاسپورتی کد 4709|کیف پاسپورتی کد 4709 رنگ brown|کیف پاسپورتی کد 4709 رنگ black|کیف پاسپورتی کد 4709 رنگ coffee|کیف پاسپورتی کد 4709 - نمای 01|کیف پاسپورتی کد 4709 - نمای 02|کیف پاسپورتی کد 4709 - نمای 03,passport-bag-4709-main.webp|passport-bag-4709-brown.webp|passport-bag-4709-black.webp|passport-bag-4709-coffee.webp|passport-bag-4709-01.webp|passport-bag-4709-02.webp|passport-bag-4709-03.webp,,کیف پاسپورتی کد 4709,تخفیف خورده‌ها,عسلی|قهوه ای|کرم‌|کرم روشن|مشکی|نسکافه ای,رنگ,روزمره,کاربرد,زیپ,نحوه بسته شدن کیف,ساتن,جنس آستر,دارد,بند بلند,1,تعداد جیب داخلی,ندارد,تعداد جیب بیرونی,1.0,تعداد بند,چرم مصنوعی,جنس رویه,من,مناسب برای,طول: ۲۵cm|عرض: ۱۰cm|کف: ۱۵cm,dimention,,
product_variation,,publish,4709-honey,4709,998000,798000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4709-main.webp,,,passport-bag-4709-main.webp,کیف پاسپورتی کد ۴۷۰۹ - عسلی,کیف پاسپورتی کد ۴۷۰۹ - عسلی,,عسلی,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4709-brown,4709,998000,798000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4709-brown.webp,,,passport-bag-4709-brown.webp,کیف پاسپورتی کد ۴۷۰۹ - قهوه ای,کیف پاسپورتی کد ۴۷۰۹ - قهوه ای,,قهوه ای,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4709-cream,4709,998000,798000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4709-main.webp,,,passport-bag-4709-main.webp,کیف پاسپورتی کد ۴۷۰۹ - کرم‌,کیف پاسپورتی کد ۴۷۰۹ - کرم‌,,کرم‌,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4709-light cream,4709,998000,798000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4709-main.webp,,,passport-bag-4709-main.webp,کیف پاسپورتی کد ۴۷۰۹ - کرم روشن,کیف پاسپورتی کد ۴۷۰۹ - کرم روشن,,کرم روشن,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4709-black,4709,998000,798000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4709-black.webp,,,passport-bag-4709-black.webp,کیف پاسپورتی کد ۴۷۰۹ - مشکی,کیف پاسپورتی کد ۴۷۰۹ - مشکی,,مشکی,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4709-coffee,4709,998000,798000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4709-coffee.webp,,,passport-bag-4709-coffee.webp,کیف پاسپورتی کد ۴۷۰۹ - نسکافه ای,کیف پاسپورتی کد ۴۷۰۹ - نسکافه ای,,نسکافه ای,رنگ,,,,,,,,,,,,,,,,,,,,,,
product,کیف پاسپورتی کد ۴۷۱۰,publish,4710,,976000,781000.0,yes,,اکسسوری>کیف پاسپورتی,,,کیف پاسپورتی کد 4710,خرید کیف پاسپورتی کد 4710 به رنگ سبز سدری و طوسی تیره و طوسی روشن با کیفیت عالی و قیمت مناسب از فروشگاه لوکس‌باز,کیف پاسپورتی کد 4710,https://luxbaz.com/product/passport-bag-4710/,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4710-main.webp,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4710-main.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4710-dark-gray.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4710-brown.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4710-black-shrink-pattern.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4710-coffee.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4710-01.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4710-02.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4710-03.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4710-04.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4710-05.webp,کیف پاسپورتی کد 4710|کیف پاسپورتی کد 4710 رنگ dark gray|کیف پاسپورتی کد 4710 رنگ brown|کیف پاسپورتی کد 4710 رنگ black shrink pattern|کیف پاسپورتی کد 4710 رنگ coffee|کیف پاسپورتی کد 4710 - نمای 01|کیف پاسپورتی کد 4710 - نمای 02|کیف پاسپورتی کد 4710 - نمای 03|کیف پاسپورتی کد 4710 - نمای 04|کیف پاسپورتی کد 4710 - نمای 05,passport-bag-4710-main.webp|passport-bag-4710-dark-gray.webp|passport-bag-4710-brown.webp|passport-bag-4710-black-shrink-pattern.webp|passport-bag-4710-coffee.webp|passport-bag-4710-01.webp|passport-bag-4710-02.webp|passport-bag-4710-03.webp|passport-bag-4710-04.webp|passport-bag-4710-05.webp,,کیف پاسپورتی کد 4710,تخفیف خورده‌ها,سبز سدری|طوسی تیره|طوسی روشن|عسلی|قهوه ای|کرم‌|مشکی شرانگ|نسکافه ای,رنگ,روزمره,کاربرد,زیپ,نحوه بسته شدن کیف,ساتن,جنس آستر,دارد,بند بلند,3,تعداد جیب داخلی,ندارد,تعداد جیب بیرونی,1.0,تعداد بند,پارچه ای,جنس رویه,من,مناسب برای,طول: ۲۰cm|عرض: ۱۰cm|کف: ۱۵cm,dimention,,
product_variation,,publish,4710-sage green,4710,976000,781000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4710-main.webp,,,passport-bag-4710-main.webp,کیف پاسپورتی کد ۴۷۱۰ - سبز سدری,کیف پاسپورتی کد ۴۷۱۰ - سبز سدری,,سبز سدری,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4710-dark gray,4710,976000,781000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4710-dark-gray.webp,,,passport-bag-4710-dark-gray.webp,کیف پاسپورتی کد ۴۷۱۰ - طوسی تیره,کیف پاسپورتی کد ۴۷۱۰ - طوسی تیره,,طوسی تیره,رنگ,,,,,,,,,,,,,,,,,,,,,,
